label,x,y,,,,,
C,-5.496423519,-0.720649901,,,,,
D,-5.86436222,-0.831031511,,,,,
E,-6.250697856,-0.849428446,,,,,
F,-6.342682531,-0.46309281,,,,,
G,-6.158713181,0.033624436,,,,,
H,-5.809171415,0.309578462,,,,,
I,-5.459629649,0.640723292,,,,,
J,-5.257263364,0.935074253,,,,,
K,-4.999706273,1.192631344,,,,,
L,-5.018103208,1.76293633,,,,,
M,-5.110087883,2.149271966,,,,,
N,-5.110087883,2.737973888,,,,,
O,-4.999706273,3.253088069,,,,,
P,-4.723752247,3.400263549,,,,,
Q,-4.355813547,3.84178999,,,,,
R,-4.024668716,4.228125626,,,,,
S,-3.767111625,4.356904172,,,,,
T,-3.399172924,4.448888847,,,,,
U,-3.086425028,4.559270457,,,,,
V,-2.773677133,4.724842873,,,,,
W,-2.442532302,4.798430613,,,,,
Z,-2,5,,,,,
A_1,-1.688257965,4.798430613,,,,,
B_1,-1.449097809,4.651255132,,,,,
C_1,-1.117952978,4.669652067,,,,,
D_1,-0.731617342,4.614461262,,,,,
E_1,-0.382075577,4.485682717,,,,,
F_1,-0.069327681,4.448888847,,,,,
G_1,0.353801825,4.614461262,,,,,
H_1,0.850519071,4.927209158,,,,,
I_1,1.292045513,5.239957054,,,,,
J_1,1.659984213,5.534308015,,,,,
K_1,1.604793408,5.184766249,,,,,
L_1,1.641587278,4.908812223,,,,,
M_1,2,5,,,,,
N_1,1.843953564,4.706445938,,,,,
O_1,1.567999538,4.540873522,,,,,
P_1,1.236854707,4.356904172,,,,,
Q_1,0.868916006,4.136140951,,,,,
R_1,0.592961981,3.988965471,,,,,
S_1,0.4457865,3.713011445,,,,,
T_1,0.11464167,3.62102677,,,,,
U_1,-0.124518486,3.455454354,,,,,
V_1,-0.510854122,3.271485004,,,,,
W_1,-0.529251057,2.995530978,,,,,
Z_1,-0.253297031,2.885149368,,,,,
A_2,-0.455663317,2.682783083,,,,,
B_2,-0.805205083,2.645989212,,,,,
C_2,-1.154746849,2.829958563,,,,,
D_2,-1.412303939,3.124309524,,,,,
E_2,-1.412303939,3.47385129,,,,,
F_2,-1,4,,,,,
G_2,-0.492457187,4.209728691,,,,,
H_2,-1.007571368,4.283316432,,,,,
I_2,-1.283525394,4.099347081,,,,,
J_2,-1.577876355,3.896980796,,,,,
K_2,-1.74344877,3.62102677,,,,,
L_2,-2.056196666,3.5842329,,,,,
M_2,-2.516120042,3.54743903,,,,,
N_2,-2.479326172,3.253088069,,,,,
O_2,-2.424135367,2.940340173,,,,,
P_2,-2.092990536,2.848355498,,,,,
Q_2,-1.7066549,2.958737108,,,,,
R_2,-1.761845705,2.664386148,,,,,
S_2,-2.166578276,2.554004537,,,,,
T_2,-2.497723107,2.554004537,,,,,
U_2,-2.810471003,2.554004537,,,,,
V_2,-3.325585184,2.443622927,,,,,
W_2,-3.656730015,2.259653576,,,,,
Z_2,-4,2,,,,,
A_3,-4.300622741,1.873317941,,,,,
B_3,-4.539782897,1.72614246,,,,,
C_3,-4.650164507,1.339806824,,,,,
D_3,-4.808202152,1.162741496,,,,,
E_3,-5.004219577,1.052971738,,,,,
F_3,-5.055184108,0.927520586,,,,,
G_3,-5.137511427,0.860874661,,,,,
H_3,-5.255121882,0.704060721,,,,,
I_3,-5.435457913,0.515883992,,,,,
J_3,-5.568749763,0.359070052,,,,,
K_3,-5.65499743,0.245379945,,,,,
L_3,-5.749085794,0.147371232,,,,,
M_3,-5.385414523,0.186336011,,,,,
N_3,-5.188397173,0.357690193,,,,,
O_3,-5,0.5,,,,,
P_3,-4.808149907,0.706250187,,,,,
Q_3,-4.618026274,0.83933673,,,,,
R_3,-4.5,1,,,,,
S_3,-4.231441554,1.143534543,,,,,
T_3,-3.971605922,1.257608722,,,,,
U_3,-3.623045928,1.447732355,,,,,
V_3,-3.407572478,1.574481444,,,,,
W_3,-3.116049574,1.663205806,,,,,
Z_3,-2.82452667,1.84065453,,,,,
A_4,-2.482304131,1.923041438,,,,,
B_4,-2.241480862,1.973741073,,,,,
C_4,-1.930945595,1.992753436,,,,,
D_4,-1.607735419,2.018103254,,,,,
E_4,-1.37958706,2.062465435,,,,,
F_4,-1.043701975,2.06880289,,,,,
G_4,-0.866253251,2.049790526,,,,,
H_4,-0.524030712,2.06880289,,,,,
I_4,-0.302219806,2.12583998,,,,,
J_4,-0.032395179,2.257505877,,,,,
K_4,0.244632605,2.491914001,,,,,
L_4,0.393801411,2.630427893,,,,,
M_4,0.68148411,2.832871273,,,,,
N_4,0.952798885,2.97399605,,,,,
O_4,1.2,3,,,,,
P_4,1.113679477,3.163030746,,,,,
Q_4,1.017151122,3.327933354,,,,,
R_4,0.888446648,3.456637827,,,,,
S_4,0.83213844,3.561210213,,,,,
T_4,0.7396321,3.629584464,,,,,
U_4,0.679301878,3.693936701,,,,,
V_4,0.816565884,3.759109814,,,,,
W_4,0.978317435,3.66107857,,,,,
Z_4,1.046939306,3.563047327,,,,,
A_5,1.1253643,3.465016084,,,,,
B_5,1.198887732,3.308166095,,,,,
C_5,1.282214289,3.200331728,,,,,
D_5,1.331229911,3.112103609,,,,,
E_5,1.4,3,,,,,
F_5,1.558147706,2.935170094,,,,,
G_5,1.658364185,2.825843027,,,,,
H_5,1.767691252,2.707405371,,,,,
I_5,1.904350085,2.670963015,,,,,
J_5,2.086561864,2.561635948,,,,,
K_5,2.277884231,2.497861826,,,,,
L_5,2.36899012,2.388534759,,,,,
M_5,2.505648954,2.270097103,,,,,
N_5,2.560312487,2.142548858,,,,,
O_5,2.587644254,2.005890024,,,,,
P_5,2.651418376,1.832788835,,,,,
Q_5,2.75595263,1.582358896,,,,,
R_5,2.868330757,1.423267291,,,,,
S_5,2.973220369,1.300896077,,,,,
T_5,3.008183573,1.073635252,,,,,
U_5,2.973220369,0.933782436,,,,,
V_5,2.990701971,0.697780809,,,,,
W_5,3,0.5,,,,,
Z_5,2.964479568,0.313185566,,,,,
A_6,2.868330757,0.155851149,,,,,
B_6,2.702255539,0.059702338,,,,,
C_6,2.527439519,-0.080150478,,,,,
D_6,2.335141898,-0.202521692,,,,,
E_6,2.125362674,-0.246225696,,,,,
F_6,1.801953038,-0.307411303,,,,,
G_6,1.574692212,-0.36859691,,,,,
H_6,1.294986581,-0.394819313,,,,,
I_6,1.085207357,-0.429782517,,,,,
J_6,1.203824483,-0.241743097,,,,,
K_6,1.355043772,-0.030036093,,,,,
L_6,1.415531487,0.234597661,,,,,
M_6,1.5,0.5,,,,,
N_6,1.415531487,0.635328775,,,,,
O_6,1.294556056,0.741182277,,,,,
P_6,1.196263519,0.809230956,,,,,
Q_6,1.029922302,0.877279636,,,,,
R_6,1,1,,,,,
S_6,1.173580626,1.270449786,,,,,
T_6,1.075288088,1.421669074,,,,,
U_6,0.946751693,1.580449326,,,,,
V_6,0.825776263,1.708985722,,,,,
W_6,0.719922761,1.807278259,,,,,
Z_6,0.621630224,1.882887903,,,,,
A_7,0.5,2,,,,,
B_7,0.356996469,2.041668156,,,,,
C_7,0.228460074,2.087033942,,,,,
D_7,0,2,,,,,
E_7,-0.202514897,1.920692725,,,,,
F_7,-0.36129515,1.898009832,,,,,
G_7,-0.641050833,1.852644045,,,,,
H_7,-0.928367481,1.882887903,,,,,
I_7,-1.170318342,1.920692725,,,,,
J_7,-1.351781488,1.935814654,,,,,
K_7,-1.52568367,1.920692725,,,,,
L_7,-1.729829709,1.898009832,,,,,
M_7,-1.911292855,1.875326939,,,,,
N_7,-2.085195036,1.837522117,,,,,
O_7,-2.319584933,1.777034401,,,,,
P_7,-2.448121328,1.754351508,,,,,
Q_7,-2.67495026,1.678741864,,,,,
R_7,-2.826169549,1.610693184,,,,,
S_7,-3,1.5,,,,,
T_7,-3.1093592,1.452564407,,,,,
U_7,-3.2,1.4,,,,,
V_7,-3.336947009,1.361529284,,,,,
W_7,-3.498327455,1.320149682,,,,,
Z_7,-3.61419034,1.26221824,,,,,
A_8,-3.675796073,1.238724846,,,,,
B_8,-3.724830245,1.204400926,,,,,
C_8,-3.800833211,1.170077005,,,,,
D_8,-3.876836177,1.133301377,,,,,
E_8,-3.935677183,1.096525748,,,,,
F_8,-3.999421606,1.054846702,,,,,
G_8,-4.050907486,1.032781325,,,,,
H_8,-4.123780348,0.987235786,,,,,
I_8,-4.21031687,0.950799356,,,,,
J_8,-4.301407947,0.882481048,,,,,
K_8,-4.360617147,0.841490064,,,,,
L_8,-4.440870586,0.789078408,,,,,
M_8,-4.498460997,0.705310536,,,,,
N_8,-4.550815917,0.621542665,,,,,
O_8,-4.582228869,0.537774793,,,,,
P_8,-4.576993377,0.417358478,,,,,
Q_8,-4.519402965,0.344061591,,,,,
R_8,-4.45134157,0.265529211,,,,,
S_8,-4.383280174,0.202703308,,,,,
T_8,-4.393751158,0.118935436,,,,,
U_8,-4.5,0,,,,,
V_8,-4.608406329,0.014225597,,,,,
W_8,-4.671232232,-0.043364815,,,,,
Z_8,-4.671232232,-0.132368178,,,,,
A_9,-4.658796883,-0.246900404,,,,,
B_9,-4.631273041,-0.317675996,,,,,
C_9,-4.6,-0.4,,,,,
D_9,-4.560497449,-0.455295204,,,,,
E_9,-4.481857901,-0.54966266,,,,,
F_9,-4.4,-0.6,,,,,
G_9,-4.340306717,-0.683349891,,,,,
H_9,-4.293122988,-0.746261528,,,,,
I_9,-4.226279373,-0.84849294,,,,,
